Model,Dataset,Class,Precision,Recall,F1-score
CNN,Training,T-shirt/top,0.8879,0.9152,0.9013
CNN,Training,Trouser,0.9958,0.9925,0.9942
CNN,Training,Pullover,0.9365,0.8508,0.8916
CNN,Training,Dress,0.957,0.9265,0.9415
CNN,Training,Coat,0.8817,0.8958,0.8887
CNN,Training,Sandal,0.9925,0.9933,0.9929
CNN,Training,Shirt,0.7739,0.8367,0.804
CNN,Training,Sneaker,0.9706,0.9835,0.977
CNN,Training,Bag,0.994,0.992,0.993
CNN,Training,Ankle boot,0.984,0.9708,0.9773
CNN,Test,T-shirt/top,0.8474,0.855,0.8512
CNN,Test,Trouser,0.9949,0.977,0.9859
CNN,Test,Pullover,0.8981,0.82,0.8573
CNN,Test,Dress,0.9232,0.89,0.9063
CNN,Test,Coat,0.847,0.869,0.8578
CNN,Test,Sandal,0.9821,0.986,0.984
CNN,Test,Shirt,0.6912,0.761,0.7244
CNN,Test,Sneaker,0.9484,0.974,0.961
CNN,Test,Bag,0.978,0.977,0.9775
CNN,Test,Ankle boot,0.9815,0.957,0.9691
