Model,Dataset,Class,Precision,Recall,F1-score
CNN,Training,T-shirt/top,0.8763,0.9202,0.8977
CNN,Training,Trouser,0.9973,0.9858,0.9915
CNN,Training,Pullover,0.884,0.9002,0.892
CNN,Training,Dress,0.9186,0.9557,0.9368
CNN,Training,Coat,0.8294,0.9337,0.8785
CNN,Training,Sandal,0.9853,0.9965,0.9909
CNN,Training,Shirt,0.8854,0.6865,0.7734
CNN,Training,Sneaker,0.9706,0.9795,0.975
CNN,Training,Bag,0.9932,0.9913,0.9922
CNN,Training,Ankle boot,0.9851,0.9685,0.9767
CNN,Test,T-shirt/top,0.8378,0.883,0.8598
CNN,Test,Trouser,0.9969,0.972,0.9843
CNN,Test,Pullover,0.8428,0.874,0.8581
CNN,Test,Dress,0.897,0.923,0.9098
CNN,Test,Coat,0.8028,0.908,0.8522
CNN,Test,Sandal,0.9648,0.987,0.9758
CNN,Test,Shirt,0.7958,0.604,0.6868
CNN,Test,Sneaker,0.9498,0.965,0.9573
CNN,Test,Bag,0.9742,0.98,0.9771
CNN,Test,Ankle boot,0.9804,0.951,0.9655
