Model,Dataset,Class,Precision,Recall,F1-score
Random Forest,Training,T-shirt/top,1.0,1.0,1.0
Random Forest,Training,Trouser,1.0,1.0,1.0
Random Forest,Training,Pullover,1.0,1.0,1.0
Random Forest,Training,Dress,1.0,1.0,1.0
Random Forest,Training,Coat,1.0,1.0,1.0
Random Forest,Training,Sandal,1.0,1.0,1.0
Random Forest,Training,Shirt,1.0,1.0,1.0
Random Forest,Training,Sneaker,0.9998,1.0,0.9999
Random Forest,Training,Bag,1.0,1.0,1.0
Random Forest,Training,Ankle boot,1.0,0.9998,0.9999
Random Forest,Test,T-shirt/top,0.8167,0.86,0.8378
Random Forest,Test,Trouser,0.9928,0.963,0.9777
Random Forest,Test,Pullover,0.7596,0.809,0.7835
Random Forest,Test,Dress,0.8767,0.903,0.8897
Random Forest,Test,Coat,0.7675,0.812,0.7891
Random Forest,Test,Sandal,0.9736,0.957,0.9652
Random Forest,Test,Shirt,0.7162,0.578,0.6397
Random Forest,Test,Sneaker,0.925,0.949,0.9368
Random Forest,Test,Bag,0.9596,0.973,0.9662
Random Forest,Test,Ankle boot,0.9497,0.944,0.9468
